id,count,code,titel,kurzinfo,signal,erf_date,mut_date,mean_sterne,count_mut,meldung_ids
8,2,F-2018-024,Microplastics,"Microplastics are ubiquitous in various bodies of water. It is estimated that 4.8-12.7 million tonnes of plastic entered the oceans in 2010. Plastic pollution is classified as an emerging risk and poses a global threat to marine ecosystems. Various studies (and subsequent media reports) report contamination of microplastics in table salt and drinking water. The amounts vary, but there is agreement that microplastics are found in table salt in different countries. Inorganic and organic particles can adhere to microplastics, which are then absorbed by the human body through consumption of contaminated salt. In addition, various types of plastic contain plasticisers, which can have a negative impact on health.",True,2018-09-25T00:00:00,2024-09-30T08:28:10,1.0,48.0,"[1701, 1702]"
160,1,F-2021-309,Human milk donation and associated health risks,"In the absence of a lactarium in French-speaking Switzerland, young mothers give, sell, buy, or receive breast milk. There are platforms for these exchanges on social networks, but they do not seem to be supervised by health professionals. The journalist in this article raises the microbiological and toxicological risks that the failure to respect certain basic sanitary rules (use of medication and bacterial contamination by Salmonella, Streptococcus, Staphylococcus) may represent for breast milk and therefore for the newborn. In 2022, a first lactarium will be opened, it is possible that these platforms will or will not cease to exist, but the question concerning the professional supervision of this issue remains if they continue to exist.",False,2021-08-10T00:00:00,2023-01-13T15:13:17,1.0,5.0,[1703]
34,1,F-2018-054,Mycotoxins in foods,"Mycotoxins are metabolites formed from certain moulds. Mould – and hence mycotoxins – can form on vulnerable foods in warm and humid conditions, either whilst crops are still growing or post-harvest during storage, drying and transport. Most mycotoxins have toxic effects in humans, and some of the better characterised mycotoxins have regulatory limits in food. Certain foods are at particular risk. These include nuts and peanuts (primarily for aflatoxins) and raisins (primarily for ochratoxin A). Horizon Scan (a non-public database) has compiled a list of the most important products and has noted an increase in recalls. These findings are also supported by other stakeholders across the food chain (e.g., Biomin World Mycotoxin Survey 2018).",True,2018-12-11T00:00:00,2024-09-13T08:13:57,1.0,46.0,[1675]
234,1,F-2023-017,PFAS in water and soils,"During the last 20 years, guideline values for Per- and polyfluoroalkyl substances (PFAS) in drinking water, surface waters, and soils have decreased dramatically due to new insights into their toxicity. As a result, levels in environmental media are now ubiquitously above guideline levels.",False,2023-03-15T08:32:44,2024-08-30T08:15:03,1.0,28.0,[1713]
196,1,F-2022-352,PFOS in meat,"Perfluorooctanesulfonic acid (PFOS) (conjugate base perfluorooctanesulfonate) is an anthropogenic (man-made) fluorosurfactant, now regarded as a global pollutant. There is a major focus on PFOS hotspot contaminations in DK right now. During the spring and summer a site previously used for training fires and firefighting has been investigated. A field close to the site was used for grassing by cows owned by 20 families. Five cows each summer has been grassing there. PFOS is analysed in the meat at concentrations from 156 to 230 ng/g in four samples from four cows. Also grass was analyzed from the area up to 165 ng/g and water in the stream showed very high levels. The theory is that rainwater is running off in the direction of the field and the stream. So the cows have had the intake both from the water in the stream and from the grass. About 187 local consumers, that have eaten the meat through the years, have had the blood analyzed for PFOS. There are a big variation of PFOS in the blood. From 1,1 ng/ml up to 500 ng/ml. Doctors at the nearby hospital will follow the people who has high levels in the blood and try to help them. They will now try to use a type of cholesterol-lowering medicine that is thought to increase the secretion of PFOS. 145 other areas around DK, where use of PFOS has been going on, will now be investigated.",False,2022-07-13T00:00:00,2024-09-04T06:40:26,1.0,6.0,[1713]
