steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
11,2,0,0,0,0,2,0,0,2,0,0
25,0,1,0,0,1,0,0,0,0,0,0
36,2,0,0,0,0,0,0,0,2,0,0
42,0,1,0,0,1,2,0,0,0,0,0
83,0,0,0,0,0,0,0,1,2,0,0
95,0,0,0,1,1,0,0,0,0,0,0
104,1,0,0,0,0,0,1,0,0,1,1
149,0,0,0,0,0,2,0,0,0,0,0
150,0,0,0,0,1,0,0,0,0,0,0
181,0,0,1,1,0,1,0,0,0,0,0
215,1,0,0,0,0,0,1,0,0,1,1
220,0,0,0,0,0,0,0,0,1,0,0
224,1,0,0,0,0,0,1,0,0,1,1
225,1,0,0,0,0,0,1,0,0,1,1
232,0,0,0,0,0,1,0,0,0,0,0
234,0,0,0,0,0,0,0,0,1,0,0
236,0,0,1,1,0,1,0,0,0,0,0
238,0,1,0,0,1,0,1,0,0,0,0
244,0,0,0,0,0,1,0,0,0,0,0
248,0,1,0,0,0,1,0,0,0,0,0
249,0,0,0,0,0,1,0,0,0,0,0
250,0,1,0,0,0,0,0,0,0,0,0
