erfDate#gefahr_id#count
2022-08#1#4
2022-08#2#1
2022-08#4#1
2022-08#10#1
2022-08#19#3
2022-08#26#1
2022-08#28#1
2022-08#35#2
2022-08#36#1
2022-08#51#1
2022-08#62#1
2022-08#66#1
2022-08#86#2
2022-08#87#1
2022-08#88#1
2022-08#89#2
2022-08#90#3
2022-08#91#2
2022-08#92#2
2022-08#93#4
2022-08#94#1
2022-08#95#1
2022-08#96#1
2022-08#97#1
2022-08#98#1
2022-08#99#1
2022-08#101#1
2022-08#102#1
2022-08#103#1
2022-08#105#2
2022-08#106#1
2022-08#108#2
2022-08#113#1
2022-08#119#1
2022-08#120#1
2022-08#121#1
2022-08#123#1
2022-08#124#1
2022-08#125#1
2022-08#126#1
2022-08#127#1
2022-09#2#1
2022-09#23#1
2022-09#26#3
2022-09#35#3
2022-09#36#1
2022-09#48#2
2022-09#63#3
2022-09#73#1
2022-09#86#2
2022-09#90#1
2022-09#91#1
2022-09#93#2
2022-09#98#1
2022-09#107#1
2022-09#109#2
2022-09#111#1
2022-09#119#2
2022-09#122#1
2022-09#125#1
2022-09#128#2
2022-09#143#1
2022-09#144#1
2022-09#145#1
2022-09#146#1
2022-09#162#1
2022-09#178#1
2022-10#10#1
2022-10#19#1
2022-10#20#1
2022-10#26#1
2022-10#63#2
2022-10#90#1
2022-10#91#1
2022-10#92#1
2022-10#93#1
2022-10#94#1
2022-10#102#1
2022-10#103#1
2022-10#109#1
2022-10#111#1
2022-10#115#1
2022-10#121#1
2022-10#125#1
2022-10#150#1
2022-10#153#1
2022-10#165#1
2022-10#167#1
2022-10#181#1
2022-10#183#1
2022-10#184#1
2022-11#1#1
2022-11#9#1
2022-11#26#3
2022-11#40#1
2022-11#86#1
2022-11#93#2
2022-11#99#1
2022-11#109#1
2022-11#121#1
2022-11#125#1
2022-11#126#1
2022-11#153#1
2022-11#180#1
2022-11#185#1
2022-11#186#1
2022-11#187#1
2022-11#188#1
2022-12#1#2
2022-12#19#1
2022-12#25#1
2022-12#26#2
2022-12#51#1
2022-12#63#2
2022-12#66#1
2022-12#67#1
2022-12#68#1
2022-12#69#1
2022-12#106#1
2022-12#111#2
2022-12#129#1
2022-12#156#1
2022-12#177#1
2022-12#187#1
2022-12#189#1
2022-12#190#1
2022-12#191#1
2022-12#192#1
